"Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance.mi.","Description","Street","Side","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight","duration","time","hour","month","year","isRushHour","DescriptionLen","road_closed","slow","caution","interstate","wy","isHighRiskState","isWeekend","isLargeCity","isCovidYears"
"SEVERE","2019-03-13T07:37:41Z","2019-03-13T08:06:57Z",39.78566,-105.0832,39.785659,-105.083205,0,"at co-121/wadsworth blvd/exit 269 - accident.","I-70 W","R","Arvada","Jefferson","CO","80002","US","US/Mountain","KBJC","2019-03-13T07:47:00Z",37.4,26.1,93,29.07,1.5,"NNW",24.2,"Rain",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Day","Day","Day","Day",1740,2019-03-13 07:37:41,7,3,2019,TRUE,45,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE
"SEVERE","2018-07-21T09:53:00Z","2018-07-21T10:22:28Z",33.87616,-84.44823,33.88745,-84.45845,0.976,"at cumberland blvd/exit 258 - accident.","I-75 N","R","Atlanta","Cobb","GA","30339","US","US/Eastern","KMGE","2018-07-21T09:56:00Z",73.8,63,84,29.91,10,"South",4.6,"Mostly Cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Day","Day","Day","Day",1740,2018-07-21 09:53:00,9,7,2018,FALSE,39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
"SEVERE","2020-01-30T20:29:35Z","2020-01-30T20:59:09Z",41.55402,-73.38571,41.55248,-73.38352,0.155,"closed at cedar hill rd - road closed due to accident.","New Milford Rd W","L","Bridgewater","Litchfield","CT","06752-1029","US","US/Eastern","KOXC","2020-01-30T20:51:00Z",27,27,63,29.53,10,"SSW",3,"Fair",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Night","Night","Night","Night",1800,2020-01-30 20:29:35,20,1,2020,FALSE,54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE
"SEVERE","2018-01-17T17:46:46Z","2018-01-17T23:46:46Z",35.30813,-80.76007,35.31576,-80.75561,0.584,"at harris blvd/exit 45 - accident.","I-85 N","R","Charlotte","Mecklenburg","NC","28262","US","US/Eastern","KJQF","2018-01-17T17:56:00Z",26.6,16.8,80,30.27,3,"North",10.4,"Light Snow",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Night","Day","Day","Day",21600,2018-01-17 17:46:46,17,1,2018,TRUE,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
"SEVERE","2018-12-28T06:16:00Z","2018-12-28T06:45:50Z",34.33089,-118.50631,34.33763,-118.50744,0.47,"ramp closed to ca-14/exit 162 - road closed due to accident.","I-5 N","R","Sylmar","Los Angeles","CA","91342","US","US/Pacific","KWHP","2018-12-28T07:50:00Z",48.2,63,22,30.12,10,"North",23,"Clear",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Night","Night","Day","Day",1740,2018-12-28 06:16:00,6,12,2018,FALSE,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE
"SEVERE","2019-05-08T18:41:46Z","2019-05-08T19:10:00Z",42.190733,-84.369575,42.188797,-84.369491,0.134,"closed at hart rd - road closed due to accident.","US Highway 127","R","Jackson","Jackson","MI","49203","US","US/Eastern","KJXN","2019-05-08T18:56:00Z",59,59,44,28.96,10,"E",14,"Fair",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Day","Day","Day","Day",1740,2019-05-08 18:41:46,18,5,2019,TRUE,48,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE
"SEVERE","2019-10-09T18:32:23Z","2019-10-09T19:00:10Z",32.46909,-83.61693,32.45746,-83.60573,1.035,"closed between ga-247-spur and harden rd - road closed due to accident.","GA Highway 247 Spur","R","Kathleen","Houston","GA","31047","US","US/Eastern","KWRB","2019-10-09T18:56:00Z",75,75,63,29.73,10,"ENE",5,"Fair",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Day","Day","Day","Day",1680,2019-10-09 18:32:23,18,10,2019,TRUE,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE
"SEVERE","2019-04-12T10:01:13Z","2019-04-12T10:30:30Z",47.77767,-122.31476,47.77771,-122.32049,0.266,"at i-5 - accident. left lane blocked.","244th St SW","R","Mountlake Terrace","Snohomish","WA","98043","US","US/Pacific","KPAE","2019-04-12T09:53:00Z",47,45,93,29.41,10,"N",5,"Cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Day","Day","Day","Day",1740,2019-04-12 10:01:13,10,4,2019,FALSE,37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE
"SEVERE","2019-03-15T11:22:32Z","2019-03-15T11:51:49Z",39.100701,-94.57267,39.096529,-94.570689,0.307,"closed at i-70-alt/i-670/exit 2 - road closed due to accident.","I-70 E","R","Kansas City","Jackson","MO","64106","US","US/Central","KMKC","2019-03-15T10:54:00Z",42.1,35.2,45,30.32,10,"WNW",12.7,"Clear",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Day","Day","Day","Day",1740,2019-03-15 11:22:32,11,3,2019,FALSE,62,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,TRUE
"SEVERE","2018-12-26T09:53:19Z","2018-12-26T10:20:53Z",35.89206,-83.7985,35.89206,-83.7985,0,"at simpson rd - accident.","Chapman Hwy","L","Knoxville","Knox","TN","37920-9175","US","US/Eastern","KTYS","2018-12-26T09:53:00Z",37.9,35.5,83,30.48,10,"NNE",3.5,"Scattered Clouds",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,"Day","Day","Day","Day",1620,2018-12-26 09:53:19,9,12,2018,FALSE,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
