"Ob","SEVERITY"
1,"MILD"
2,"MILD"
3,"MILD"
4,"MILD"
5,"MILD"
6,"MILD"
7,"MILD"
8,"MILD"
9,"MILD"
10,"MILD"
11,"MILD"
12,"MILD"
13,"MILD"
14,"MILD"
15,"MILD"
16,"MILD"
17,"MILD"
18,"MILD"
19,"MILD"
20,"MILD"
21,"MILD"
22,"MILD"
23,"MILD"
24,"MILD"
25,"MILD"
26,"MILD"
27,"MILD"
28,"MILD"
29,"MILD"
30,"MILD"
31,"MILD"
32,"MILD"
33,"MILD"
34,"MILD"
35,"MILD"
36,"MILD"
37,"MILD"
38,"MILD"
39,"MILD"
40,"MILD"
41,"MILD"
42,"MILD"
43,"MILD"
44,"MILD"
45,"MILD"
46,"MILD"
47,"MILD"
48,"MILD"
49,"MILD"
50,"MILD"
51,"MILD"
52,"MILD"
53,"MILD"
54,"MILD"
55,"MILD"
56,"MILD"
57,"SEVERE"
58,"MILD"
59,"MILD"
60,"MILD"
61,"MILD"
62,"MILD"
63,"MILD"
64,"MILD"
65,"MILD"
66,"SEVERE"
67,"MILD"
68,"MILD"
69,"MILD"
70,"MILD"
71,"MILD"
72,"MILD"
73,"MILD"
74,"MILD"
75,"MILD"
76,"MILD"
77,"MILD"
78,"MILD"
79,"MILD"
80,"MILD"
81,"MILD"
82,"MILD"
83,"MILD"
84,"MILD"
85,"MILD"
86,"MILD"
87,"MILD"
88,"MILD"
89,"MILD"
90,"MILD"
91,"MILD"
92,"MILD"
93,"MILD"
94,"MILD"
95,"MILD"
96,"MILD"
97,"MILD"
98,"MILD"
99,"MILD"
100,"MILD"
101,"MILD"
102,"MILD"
103,"MILD"
104,"SEVERE"
105,"MILD"
106,"MILD"
107,"MILD"
108,"MILD"
109,"MILD"
110,"MILD"
111,"MILD"
112,"MILD"
113,"MILD"
114,"MILD"
115,"MILD"
116,"MILD"
117,"MILD"
118,"MILD"
119,"MILD"
120,"MILD"
121,"MILD"
122,"MILD"
123,"MILD"
124,"MILD"
125,"MILD"
126,"MILD"
127,"MILD"
128,"MILD"
129,"MILD"
130,"MILD"
131,"MILD"
132,"MILD"
133,"MILD"
134,"MILD"
135,"MILD"
136,"MILD"
137,"MILD"
138,"MILD"
139,"MILD"
140,"MILD"
141,"SEVERE"
142,"MILD"
143,"MILD"
144,"MILD"
145,"MILD"
146,"SEVERE"
147,"MILD"
148,"MILD"
149,"MILD"
150,"MILD"
151,"SEVERE"
152,"MILD"
153,"MILD"
154,"MILD"
155,"MILD"
156,"MILD"
157,"MILD"
158,"MILD"
159,"MILD"
160,"MILD"
161,"MILD"
162,"MILD"
163,"MILD"
164,"MILD"
165,"MILD"
166,"MILD"
167,"MILD"
168,"MILD"
169,"MILD"
170,"MILD"
171,"MILD"
172,"MILD"
173,"MILD"
174,"MILD"
175,"MILD"
176,"MILD"
177,"MILD"
178,"MILD"
179,"MILD"
180,"MILD"
181,"MILD"
182,"MILD"
183,"MILD"
184,"MILD"
185,"MILD"
186,"MILD"
187,"MILD"
188,"SEVERE"
189,"MILD"
190,"MILD"
191,"MILD"
192,"MILD"
193,"MILD"
194,"MILD"
195,"MILD"
196,"MILD"
197,"MILD"
198,"MILD"
199,"MILD"
200,"MILD"
201,"MILD"
202,"MILD"
203,"MILD"
204,"MILD"
205,"MILD"
206,"MILD"
207,"MILD"
208,"MILD"
209,"MILD"
210,"MILD"
211,"MILD"
212,"MILD"
213,"MILD"
214,"MILD"
215,"MILD"
216,"MILD"
217,"MILD"
218,"MILD"
219,"MILD"
220,"MILD"
221,"MILD"
222,"MILD"
223,"MILD"
224,"MILD"
225,"MILD"
226,"MILD"
227,"MILD"
228,"MILD"
229,"MILD"
230,"MILD"
231,"MILD"
232,"MILD"
233,"MILD"
234,"MILD"
235,"MILD"
236,"MILD"
237,"MILD"
238,"MILD"
239,"MILD"
240,"MILD"
241,"MILD"
242,"MILD"
243,"MILD"
244,"MILD"
245,"MILD"
246,"MILD"
247,"MILD"
248,"MILD"
249,"MILD"
250,"MILD"
251,"MILD"
252,"MILD"
253,"MILD"
254,"MILD"
255,"MILD"
256,"MILD"
257,"MILD"
258,"MILD"
259,"MILD"
260,"MILD"
261,"MILD"
262,"MILD"
263,"MILD"
264,"MILD"
265,"MILD"
266,"MILD"
267,"MILD"
268,"MILD"
269,"MILD"
270,"MILD"
271,"MILD"
272,"MILD"
273,"MILD"
274,"MILD"
275,"MILD"
276,"MILD"
277,"MILD"
278,"MILD"
279,"MILD"
280,"MILD"
281,"SEVERE"
282,"MILD"
283,"MILD"
284,"MILD"
285,"MILD"
286,"MILD"
287,"MILD"
288,"MILD"
289,"MILD"
290,"MILD"
291,"MILD"
292,"MILD"
293,"MILD"
294,"MILD"
295,"MILD"
296,"MILD"
297,"MILD"
298,"MILD"
299,"MILD"
300,"MILD"
301,"MILD"
302,"MILD"
303,"MILD"
304,"MILD"
305,"MILD"
306,"MILD"
307,"MILD"
308,"MILD"
309,"MILD"
310,"MILD"
311,"MILD"
312,"MILD"
313,"MILD"
314,"MILD"
315,"MILD"
316,"MILD"
317,"MILD"
318,"MILD"
319,"MILD"
320,"MILD"
321,"MILD"
322,"MILD"
323,"MILD"
324,"MILD"
325,"MILD"
326,"MILD"
327,"MILD"
328,"MILD"
329,"MILD"
330,"MILD"
331,"MILD"
332,"MILD"
333,"MILD"
334,"MILD"
335,"MILD"
336,"MILD"
337,"MILD"
338,"MILD"
339,"MILD"
340,"MILD"
341,"MILD"
342,"MILD"
343,"MILD"
344,"MILD"
345,"MILD"
346,"MILD"
347,"MILD"
348,"MILD"
349,"MILD"
350,"MILD"
351,"MILD"
352,"MILD"
353,"MILD"
354,"MILD"
355,"MILD"
356,"MILD"
357,"MILD"
358,"MILD"
359,"MILD"
360,"MILD"
361,"MILD"
362,"MILD"
363,"MILD"
364,"MILD"
365,"MILD"
366,"MILD"
367,"MILD"
368,"MILD"
369,"MILD"
370,"MILD"
371,"MILD"
372,"MILD"
373,"MILD"
374,"MILD"
375,"MILD"
376,"MILD"
377,"MILD"
378,"MILD"
379,"MILD"
380,"MILD"
381,"MILD"
382,"MILD"
383,"MILD"
384,"MILD"
385,"MILD"
386,"MILD"
387,"MILD"
388,"MILD"
389,"MILD"
390,"MILD"
391,"MILD"
392,"MILD"
393,"MILD"
394,"MILD"
395,"MILD"
396,"MILD"
397,"MILD"
398,"MILD"
399,"MILD"
400,"MILD"
401,"MILD"
402,"MILD"
403,"MILD"
404,"MILD"
405,"MILD"
406,"MILD"
407,"MILD"
408,"MILD"
409,"MILD"
410,"MILD"
411,"MILD"
412,"MILD"
413,"MILD"
414,"MILD"
415,"MILD"
416,"MILD"
417,"MILD"
418,"MILD"
419,"MILD"
420,"MILD"
421,"MILD"
422,"MILD"
423,"MILD"
424,"MILD"
425,"MILD"
426,"MILD"
427,"MILD"
428,"MILD"
429,"MILD"
430,"MILD"
431,"MILD"
432,"MILD"
433,"MILD"
434,"MILD"
435,"MILD"
436,"MILD"
437,"MILD"
438,"MILD"
439,"MILD"
440,"MILD"
441,"MILD"
442,"MILD"
443,"MILD"
444,"MILD"
445,"MILD"
446,"MILD"
447,"MILD"
448,"MILD"
449,"MILD"
450,"MILD"
451,"MILD"
452,"MILD"
453,"MILD"
454,"MILD"
455,"MILD"
456,"MILD"
457,"MILD"
458,"MILD"
459,"MILD"
460,"MILD"
461,"MILD"
462,"SEVERE"
463,"MILD"
464,"MILD"
465,"SEVERE"
466,"MILD"
467,"MILD"
468,"MILD"
469,"MILD"
470,"MILD"
471,"MILD"
472,"MILD"
473,"MILD"
474,"MILD"
475,"MILD"
476,"MILD"
477,"MILD"
478,"MILD"
479,"MILD"
480,"MILD"
481,"MILD"
482,"MILD"
483,"MILD"
484,"SEVERE"
485,"MILD"
486,"MILD"
487,"MILD"
488,"MILD"
489,"MILD"
490,"MILD"
491,"MILD"
492,"MILD"
493,"MILD"
494,"MILD"
495,"MILD"
496,"MILD"
497,"MILD"
498,"MILD"
499,"SEVERE"
500,"MILD"
501,"MILD"
502,"MILD"
503,"MILD"
504,"MILD"
505,"MILD"
506,"MILD"
507,"MILD"
508,"MILD"
509,"MILD"
510,"MILD"
511,"MILD"
512,"MILD"
513,"MILD"
514,"MILD"
515,"MILD"
516,"MILD"
517,"SEVERE"
518,"MILD"
519,"MILD"
520,"MILD"
521,"MILD"
522,"MILD"
523,"MILD"
524,"MILD"
525,"MILD"
526,"MILD"
527,"MILD"
528,"MILD"
529,"MILD"
530,"MILD"
531,"MILD"
532,"MILD"
533,"SEVERE"
534,"MILD"
535,"MILD"
536,"MILD"
537,"SEVERE"
538,"MILD"
539,"MILD"
540,"MILD"
541,"MILD"
542,"MILD"
543,"MILD"
544,"MILD"
545,"MILD"
546,"MILD"
547,"MILD"
548,"MILD"
549,"MILD"
550,"MILD"
551,"MILD"
552,"MILD"
553,"MILD"
554,"MILD"
555,"MILD"
556,"MILD"
557,"MILD"
558,"SEVERE"
559,"MILD"
560,"MILD"
561,"MILD"
562,"MILD"
563,"MILD"
564,"MILD"
565,"MILD"
566,"MILD"
567,"MILD"
568,"MILD"
569,"MILD"
570,"MILD"
571,"MILD"
572,"MILD"
573,"MILD"
574,"MILD"
575,"MILD"
576,"MILD"
577,"MILD"
578,"MILD"
579,"MILD"
580,"MILD"
581,"MILD"
582,"MILD"
583,"MILD"
584,"MILD"
585,"MILD"
586,"MILD"
587,"MILD"
588,"MILD"
589,"MILD"
590,"MILD"
591,"MILD"
592,"MILD"
593,"MILD"
594,"MILD"
595,"MILD"
596,"MILD"
597,"MILD"
598,"MILD"
599,"MILD"
600,"MILD"
601,"MILD"
602,"MILD"
603,"MILD"
604,"MILD"
605,"MILD"
606,"MILD"
607,"MILD"
608,"MILD"
609,"MILD"
610,"MILD"
611,"MILD"
612,"MILD"
613,"MILD"
614,"MILD"
615,"MILD"
616,"MILD"
617,"MILD"
618,"SEVERE"
619,"MILD"
620,"MILD"
621,"MILD"
622,"MILD"
623,"MILD"
624,"MILD"
625,"MILD"
626,"MILD"
627,"MILD"
628,"MILD"
629,"MILD"
630,"MILD"
631,"MILD"
632,"MILD"
633,"MILD"
634,"MILD"
635,"MILD"
636,"MILD"
637,"MILD"
638,"MILD"
639,"MILD"
640,"MILD"
641,"MILD"
642,"MILD"
643,"MILD"
644,"MILD"
645,"MILD"
646,"MILD"
647,"MILD"
648,"MILD"
649,"MILD"
650,"MILD"
651,"MILD"
652,"MILD"
653,"MILD"
654,"MILD"
655,"MILD"
656,"MILD"
657,"MILD"
658,"MILD"
659,"MILD"
660,"MILD"
661,"MILD"
662,"MILD"
663,"MILD"
664,"MILD"
665,"MILD"
666,"MILD"
667,"MILD"
668,"MILD"
669,"MILD"
670,"MILD"
671,"MILD"
672,"MILD"
673,"MILD"
674,"MILD"
675,"MILD"
676,"MILD"
677,"MILD"
678,"MILD"
679,"MILD"
680,"MILD"
681,"MILD"
682,"MILD"
683,"MILD"
684,"MILD"
685,"MILD"
686,"SEVERE"
687,"MILD"
688,"MILD"
689,"MILD"
690,"MILD"
691,"MILD"
692,"MILD"
693,"MILD"
694,"MILD"
695,"MILD"
696,"MILD"
697,"MILD"
698,"MILD"
699,"MILD"
700,"MILD"
701,"MILD"
702,"MILD"
703,"MILD"
704,"MILD"
705,"MILD"
706,"MILD"
707,"MILD"
708,"MILD"
709,"MILD"
710,"MILD"
711,"MILD"
712,"MILD"
713,"MILD"
714,"MILD"
715,"MILD"
716,"MILD"
717,"MILD"
718,"MILD"
719,"MILD"
720,"MILD"
721,"MILD"
722,"MILD"
723,"MILD"
724,"MILD"
725,"MILD"
726,"MILD"
727,"MILD"
728,"MILD"
729,"MILD"
730,"MILD"
731,"MILD"
732,"MILD"
733,"MILD"
734,"MILD"
735,"MILD"
736,"MILD"
737,"MILD"
738,"MILD"
739,"MILD"
740,"MILD"
741,"MILD"
742,"MILD"
743,"MILD"
744,"MILD"
745,"MILD"
746,"MILD"
747,"MILD"
748,"MILD"
749,"MILD"
750,"MILD"
751,"MILD"
752,"MILD"
753,"MILD"
754,"MILD"
755,"MILD"
756,"MILD"
757,"MILD"
758,"MILD"
759,"MILD"
760,"MILD"
761,"MILD"
762,"MILD"
763,"MILD"
764,"MILD"
765,"MILD"
766,"MILD"
767,"MILD"
768,"MILD"
769,"MILD"
770,"MILD"
771,"MILD"
772,"MILD"
773,"MILD"
774,"MILD"
775,"MILD"
776,"MILD"
777,"MILD"
778,"MILD"
779,"MILD"
780,"MILD"
781,"MILD"
782,"MILD"
783,"MILD"
784,"MILD"
785,"MILD"
786,"MILD"
787,"MILD"
788,"MILD"
789,"MILD"
790,"MILD"
791,"MILD"
792,"MILD"
793,"MILD"
794,"MILD"
795,"MILD"
796,"MILD"
797,"MILD"
798,"MILD"
799,"MILD"
800,"MILD"
801,"MILD"
802,"MILD"
803,"MILD"
804,"MILD"
805,"MILD"
806,"MILD"
807,"MILD"
808,"MILD"
809,"MILD"
810,"MILD"
811,"MILD"
812,"MILD"
813,"MILD"
814,"MILD"
815,"MILD"
816,"MILD"
817,"MILD"
818,"MILD"
819,"MILD"
820,"MILD"
821,"MILD"
822,"MILD"
823,"SEVERE"
824,"MILD"
825,"MILD"
826,"MILD"
827,"MILD"
828,"MILD"
829,"MILD"
830,"MILD"
831,"MILD"
832,"MILD"
833,"MILD"
834,"MILD"
835,"MILD"
836,"MILD"
837,"MILD"
838,"MILD"
839,"MILD"
840,"SEVERE"
841,"MILD"
842,"MILD"
843,"MILD"
844,"MILD"
845,"MILD"
846,"MILD"
847,"MILD"
848,"MILD"
849,"MILD"
850,"MILD"
851,"MILD"
852,"MILD"
853,"MILD"
854,"MILD"
855,"MILD"
856,"MILD"
857,"MILD"
858,"MILD"
859,"MILD"
860,"MILD"
861,"MILD"
862,"MILD"
863,"SEVERE"
864,"MILD"
865,"MILD"
866,"MILD"
867,"MILD"
868,"MILD"
869,"MILD"
870,"MILD"
871,"MILD"
872,"MILD"
873,"MILD"
874,"MILD"
875,"MILD"
876,"MILD"
877,"MILD"
878,"MILD"
879,"MILD"
880,"MILD"
881,"MILD"
882,"MILD"
883,"MILD"
884,"MILD"
885,"MILD"
886,"MILD"
887,"MILD"
888,"MILD"
889,"MILD"
890,"MILD"
891,"MILD"
892,"MILD"
893,"MILD"
894,"MILD"
895,"MILD"
896,"MILD"
897,"MILD"
898,"MILD"
899,"MILD"
900,"SEVERE"
901,"MILD"
902,"MILD"
903,"MILD"
904,"MILD"
905,"MILD"
906,"MILD"
907,"MILD"
908,"MILD"
909,"SEVERE"
910,"MILD"
911,"MILD"
912,"MILD"
913,"MILD"
914,"MILD"
915,"MILD"
916,"MILD"
917,"MILD"
918,"MILD"
919,"MILD"
920,"MILD"
921,"SEVERE"
922,"MILD"
923,"SEVERE"
924,"MILD"
925,"MILD"
926,"MILD"
927,"MILD"
928,"MILD"
929,"MILD"
930,"MILD"
931,"MILD"
932,"MILD"
933,"MILD"
934,"MILD"
935,"MILD"
936,"MILD"
937,"MILD"
938,"MILD"
939,"MILD"
940,"MILD"
941,"MILD"
942,"MILD"
943,"MILD"
944,"MILD"
945,"MILD"
946,"MILD"
947,"MILD"
948,"MILD"
949,"MILD"
950,"MILD"
951,"MILD"
952,"MILD"
953,"MILD"
954,"MILD"
955,"MILD"
956,"MILD"
957,"MILD"
958,"MILD"
959,"MILD"
960,"MILD"
961,"MILD"
962,"MILD"
963,"SEVERE"
964,"MILD"
965,"MILD"
966,"MILD"
967,"MILD"
968,"MILD"
969,"MILD"
970,"MILD"
971,"MILD"
972,"MILD"
973,"SEVERE"
974,"MILD"
975,"MILD"
976,"MILD"
977,"MILD"
978,"MILD"
979,"MILD"
980,"MILD"
981,"MILD"
982,"MILD"
983,"SEVERE"
984,"MILD"
985,"MILD"
986,"MILD"
987,"MILD"
988,"SEVERE"
989,"MILD"
990,"MILD"
991,"MILD"
992,"MILD"
993,"MILD"
994,"MILD"
995,"MILD"
996,"MILD"
997,"MILD"
998,"MILD"
999,"MILD"
1000,"MILD"
1001,"MILD"
1002,"MILD"
1003,"MILD"
1004,"MILD"
1005,"MILD"
1006,"MILD"
1007,"MILD"
1008,"MILD"
1009,"MILD"
1010,"MILD"
1011,"MILD"
1012,"MILD"
1013,"MILD"
1014,"MILD"
1015,"MILD"
1016,"MILD"
1017,"MILD"
1018,"MILD"
1019,"MILD"
1020,"MILD"
1021,"MILD"
1022,"MILD"
1023,"MILD"
1024,"MILD"
1025,"MILD"
1026,"MILD"
1027,"MILD"
1028,"MILD"
1029,"MILD"
1030,"MILD"
1031,"MILD"
1032,"MILD"
1033,"MILD"
1034,"MILD"
1035,"MILD"
1036,"MILD"
1037,"MILD"
1038,"MILD"
1039,"MILD"
1040,"MILD"
1041,"MILD"
1042,"MILD"
1043,"MILD"
1044,"MILD"
1045,"MILD"
1046,"MILD"
1047,"MILD"
1048,"MILD"
1049,"MILD"
1050,"MILD"
1051,"MILD"
1052,"MILD"
1053,"MILD"
1054,"MILD"
1055,"MILD"
1056,"MILD"
1057,"MILD"
1058,"MILD"
1059,"MILD"
1060,"MILD"
1061,"MILD"
1062,"MILD"
1063,"MILD"
1064,"MILD"
1065,"MILD"
1066,"MILD"
1067,"MILD"
1068,"MILD"
1069,"MILD"
1070,"MILD"
1071,"MILD"
1072,"MILD"
1073,"MILD"
1074,"MILD"
1075,"MILD"
1076,"MILD"
1077,"MILD"
1078,"MILD"
1079,"MILD"
1080,"MILD"
1081,"MILD"
1082,"MILD"
1083,"MILD"
1084,"MILD"
1085,"MILD"
1086,"MILD"
1087,"MILD"
1088,"MILD"
1089,"MILD"
1090,"SEVERE"
1091,"MILD"
1092,"MILD"
1093,"MILD"
1094,"MILD"
1095,"MILD"
1096,"MILD"
1097,"MILD"
1098,"MILD"
1099,"MILD"
1100,"MILD"
1101,"MILD"
1102,"MILD"
1103,"SEVERE"
1104,"MILD"
1105,"MILD"
1106,"MILD"
1107,"MILD"
1108,"SEVERE"
1109,"MILD"
1110,"MILD"
1111,"MILD"
1112,"MILD"
1113,"SEVERE"
1114,"MILD"
1115,"MILD"
1116,"MILD"
1117,"MILD"
1118,"MILD"
1119,"MILD"
1120,"MILD"
1121,"MILD"
1122,"MILD"
1123,"MILD"
1124,"MILD"
1125,"MILD"
1126,"MILD"
1127,"MILD"
1128,"MILD"
1129,"MILD"
1130,"MILD"
1131,"MILD"
1132,"MILD"
1133,"MILD"
1134,"MILD"
1135,"MILD"
1136,"MILD"
1137,"MILD"
1138,"MILD"
1139,"MILD"
1140,"MILD"
1141,"MILD"
1142,"MILD"
1143,"MILD"
1144,"MILD"
1145,"MILD"
1146,"MILD"
1147,"MILD"
1148,"MILD"
1149,"MILD"
1150,"SEVERE"
1151,"MILD"
1152,"MILD"
1153,"MILD"
1154,"MILD"
1155,"MILD"
1156,"MILD"
1157,"MILD"
1158,"MILD"
1159,"MILD"
1160,"MILD"
1161,"MILD"
1162,"MILD"
1163,"MILD"
1164,"MILD"
1165,"MILD"
1166,"MILD"
1167,"MILD"
1168,"MILD"
1169,"MILD"
1170,"MILD"
1171,"MILD"
1172,"MILD"
1173,"MILD"
1174,"MILD"
1175,"MILD"
1176,"MILD"
1177,"MILD"
1178,"MILD"
1179,"MILD"
1180,"MILD"
1181,"MILD"
1182,"MILD"
1183,"MILD"
1184,"MILD"
1185,"MILD"
1186,"MILD"
1187,"MILD"
1188,"MILD"
1189,"MILD"
1190,"MILD"
1191,"MILD"
1192,"MILD"
1193,"MILD"
1194,"MILD"
1195,"MILD"
1196,"MILD"
1197,"MILD"
1198,"MILD"
1199,"MILD"
1200,"SEVERE"
1201,"MILD"
1202,"MILD"
1203,"MILD"
1204,"MILD"
1205,"MILD"
1206,"MILD"
1207,"MILD"
1208,"MILD"
1209,"MILD"
1210,"MILD"
1211,"MILD"
1212,"MILD"
1213,"MILD"
1214,"MILD"
1215,"MILD"
1216,"MILD"
1217,"MILD"
1218,"MILD"
